1) predicted: 3, label: 2
213) predicted: 1, label: 3
217) predicted: 1, label: 6
218) predicted: 8, label: 5
219) predicted: 0, label: 5
220) predicted: 3, label: 7
221) predicted: 8, label: 2
222) predicted: 3, label: 2
225) predicted: 0, label: 2
227) predicted: 8, label: 4
233) predicted: 3, label: 8
234) predicted: 1, label: 7
236) predicted: 9, label: 2
237) predicted: 1, label: 2
238) predicted: 9, label: 4
240) predicted: 8, label: 5
241) predicted: 3, label: 9
243) predicted: 3, label: 7
244) predicted: 8, label: 2
247) predicted: 1, label: 4
248) predicted: 9, label: 4
249) predicted: 1, label: 2
250) predicted: 8, label: 4
253) predicted: 8, label: 5
256) predicted: 1, label: 2
257) predicted: 1, label: 8
258) predicted: 0, label: 2
259) predicted: 0, label: 6
261) predicted: 1, label: 5
264) predicted: 3, label: 9
266) predicted: 6, label: 8
268) predicted: 3, label: 8
274) predicted: 3, label: 9
275) predicted: 8, label: 4
278) predicted: 8, label: 2
280) predicted: 8, label: 2
281) predicted: 8, label: 9
282) predicted: 1, label: 7
283) predicted: 8, label: 5
284) predicted: 0, label: 9
285) predicted: 8, label: 2
286) predicted: 1, label: 6
287) predicted: 0, label: 4
289) predicted: 3, label: 5
290) predicted: 3, label: 8
291) predicted: 3, label: 2
293) predicted: 8, label: 2
295) predicted: 9, label: 4
298) predicted: 0, label: 2
300) predicted: 1, label: 4
301) predicted: 3, label: 7
303) predicted: 3, label: 2
304) predicted: 9, label: 4
307) predicted: 1, label: 7
315) predicted: 4, label: 9
316) predicted: 1, label: 6
317) predicted: 8, label: 5
318) predicted: 0, label: 2
319) predicted: 0, label: 5
320) predicted: 1, label: 9
321) predicted: 1, label: 2
323) predicted: 1, label: 3
325) predicted: 8, label: 4
326) predicted: 1, label: 2
328) predicted: 1, label: 7
331) predicted: 8, label: 2
333) predicted: 8, label: 5
335) predicted: 8, label: 3
337) predicted: 3, label: 7
338) predicted: 0, label: 8
340) predicted: 3, label: 5
341) predicted: 9, label: 6
343) predicted: 0, label: 3
346) predicted: 8, label: 0
347) predicted: 8, label: 5
351) predicted: 3, label: 5
352) predicted: 0, label: 5
355) predicted: 1, label: 8
356) predicted: 3, label: 5
360) predicted: 0, label: 4
362) predicted: 3, label: 2
363) predicted: 1, label: 2
364) predicted: 3, label: 5
367) predicted: 3, label: 5
371) predicted: 1, label: 2
375) predicted: 8, label: 5
376) predicted: 9, label: 4
379) predicted: 8, label: 4
384) predicted: 0, label: 6
387) predicted: 3, label: 2
389) predicted: 3, label: 9
390) predicted: 0, label: 2
395) predicted: 8, label: 5
396) predicted: 0, label: 2
397) predicted: 3, label: 5
398) predicted: 0, label: 4
399) predicted: 9, label: 4
400) predicted: 0, label: 2
403) predicted: 9, label: 8
404) predicted: 8, label: 2
405) predicted: 9, label: 4
406) predicted: 0, label: 5
411) predicted: 1, label: 7
412) predicted: 3, label: 5
418) predicted: 8, label: 2
420) predicted: 8, label: 4
421) predicted: 0, label: 2
423) predicted: 9, label: 2
425) predicted: 9, label: 4
428) predicted: 8, label: 4
429) predicted: 3, label: 8
431) predicted: 3, label: 8
432) predicted: 8, label: 4
433) predicted: 8, label: 5
435) predicted: 3, label: 8
443) predicted: 8, label: 0
444) predicted: 8, label: 2
445) predicted: 0, label: 6
447) predicted: 8, label: 4
448) predicted: 8, label: 9
452) predicted: 3, label: 2
454) predicted: 3, label: 9
456) predicted: 3, label: 2
457) predicted: 8, label: 6
460) predicted: 8, label: 5
467) predicted: 3, label: 2
468) predicted: 0, label: 7
469) predicted: 3, label: 5
471) predicted: 7, label: 9
475) predicted: 0, label: 4
477) predicted: 0, label: 2
478) predicted: 3, label: 5
479) predicted: 3, label: 9
481) predicted: 3, label: 9
482) predicted: 3, label: 7
483) predicted: 6, label: 5
484) predicted: 9, label: 4
488) predicted: 3, label: 9
491) predicted: 8, label: 5
492) predicted: 8, label: 2
495) predicted: 0, label: 8
497) predicted: 1, label: 4
498) predicted: 8, label: 0
499) predicted: 1, label: 6
501) predicted: 3, label: 9
502) predicted: 1, label: 5
503) predicted: 0, label: 2
505) predicted: 8, label: 3
508) predicted: 8, label: 6
509) predicted: 3, label: 5
511) predicted: 1, label: 4
512) predicted: 1, label: 2
513) predicted: 8, label: 2
514) predicted: 0, label: 6
515) predicted: 1, label: 3
516) predicted: 0, label: 2
518) predicted: 8, label: 5
519) predicted: 9, label: 4
520) predicted: 1, label: 8
521) predicted: 1, label: 9
522) predicted: 9, label: 7
527) predicted: 0, label: 8
532) predicted: 8, label: 4
533) predicted: 0, label: 4
535) predicted: 0, label: 4
536) predicted: 1, label: 2
538) predicted: 1, label: 8
539) predicted: 0, label: 2
540) predicted: 3, label: 5
541) predicted: 9, label: 4
543) predicted: 3, label: 8
547) predicted: 8, label: 2
549) predicted: 0, label: 2
551) predicted: 1, label: 7
554) predicted: 3, label: 7
555) predicted: 8, label: 4
557) predicted: 3, label: 7
559) predicted: 0, label: 6
565) predicted: 7, label: 4
566) predicted: 1, label: 6
570) predicted: 8, label: 5
571) predicted: 9, label: 4
577) predicted: 7, label: 3
578) predicted: 8, label: 3
579) predicted: 8, label: 7
583) predicted: 3, label: 2
588) predicted: 3, label: 5
589) predicted: 9, label: 4
591) predicted: 3, label: 8
593) predicted: 7, label: 9
599) predicted: 3, label: 9
601) predicted: 1, label: 8
602) predicted: 0, label: 6
604) predicted: 8, label: 5
605) predicted: 1, label: 7
609) predicted: 8, label: 2
610) predicted: 9, label: 4
612) predicted: 8, label: 2
613) predicted: 8, label: 2
614) predicted: 1, label: 3
616) predicted: 3, label: 9
617) predicted: 3, label: 7
618) predicted: 3, label: 5
619) predicted: 3, label: 1
622) predicted: 9, label: 4
624) predicted: 8, label: 2
625) predicted: 0, label: 6
629) predicted: 6, label: 2
632) predicted: 8, label: 2
633) predicted: 8, label: 2
634) predicted: 3, label: 9
635) predicted: 1, label: 2
638) predicted: 6, label: 5
643) predicted: 3, label: 2
645) predicted: 8, label: 5
646) predicted: 1, label: 2
650) predicted: 8, label: 6
653) predicted: 1, label: 2
654) predicted: 0, label: 5
655) predicted: 3, label: 8
658) predicted: 4, label: 7
659) predicted: 3, label: 2
660) predicted: 8, label: 4
661) predicted: 8, label: 0
665) predicted: 0, label: 6
667) predicted: 1, label: 7
668) predicted: 9, label: 4
670) predicted: 8, label: 4
671) predicted: 0, label: 9
673) predicted: 8, label: 9
674) predicted: 3, label: 5
681) predicted: 3, label: 9
684) predicted: 3, label: 7
688) predicted: 8, label: 6
689) predicted: 1, label: 7
690) predicted: 8, label: 2
691) predicted: 3, label: 8
692) predicted: 1, label: 5
694) predicted: 8, label: 5
697) predicted: 9, label: 4
702) predicted: 1, label: 7
703) predicted: 3, label: 7
707) predicted: 9, label: 4
708) predicted: 9, label: 4
710) predicted: 8, label: 5
711) predicted: 0, label: 5
712) predicted: 9, label: 4
714) predicted: 3, label: 8
715) predicted: 3, label: 2
719) predicted: 0, label: 4
720) predicted: 6, label: 5
722) predicted: 9, label: 4
726) predicted: 3, label: 7
728) predicted: 3, label: 2
730) predicted: 3, label: 7
731) predicted: 3, label: 2
736) predicted: 0, label: 4
737) predicted: 0, label: 6
738) predicted: 3, label: 2
739) predicted: 3, label: 5
740) predicted: 9, label: 4
741) predicted: 8, label: 2
744) predicted: 0, label: 2
748) predicted: 9, label: 4
751) predicted: 3, label: 5
752) predicted: 9, label: 4
757) predicted: 8, label: 4
759) predicted: 3, label: 9
760) predicted: 1, label: 4
762) predicted: 0, label: 4
764) predicted: 0, label: 2
765) predicted: 9, label: 4
766) predicted: 3, label: 5
770) predicted: 0, label: 4
771) predicted: 9, label: 7
774) predicted: 3, label: 4
775) predicted: 3, label: 2
776) predicted: 6, label: 4
778) predicted: 3, label: 5
779) predicted: 8, label: 5
781) predicted: 3, label: 8
784) predicted: 6, label: 4
785) predicted: 3, label: 5
787) predicted: 3, label: 8
789) predicted: 9, label: 4
791) predicted: 3, label: 5
796) predicted: 0, label: 2
797) predicted: 8, label: 5
799) predicted: 3, label: 2
800) predicted: 3, label: 8
802) predicted: 9, label: 4
803) predicted: 0, label: 4
810) predicted: 3, label: 7
812) predicted: 3, label: 5
813) predicted: 8, label: 9
816) predicted: 1, label: 2
817) predicted: 0, label: 6
822) predicted: 3, label: 7
823) predicted: 0, label: 2
827) predicted: 6, label: 4
828) predicted: 3, label: 2
829) predicted: 8, label: 4
830) predicted: 8, label: 2
834) predicted: 1, label: 6
837) predicted: 3, label: 2
838) predicted: 9, label: 4
839) predicted: 0, label: 8
841) predicted: 4, label: 7
842) predicted: 1, label: 7
843) predicted: 0, label: 4
844) predicted: 3, label: 8
846) predicted: 0, label: 7
853) predicted: 1, label: 7
856) predicted: 8, label: 5
857) predicted: 1, label: 5
858) predicted: 0, label: 2
859) predicted: 9, label: 7
863) predicted: 0, label: 2
866) predicted: 6, label: 5
867) predicted: 3, label: 2
868) predicted: 8, label: 2
869) predicted: 3, label: 5
870) predicted: 8, label: 6
873) predicted: 3, label: 2
874) predicted: 1, label: 9
875) predicted: 0, label: 2
876) predicted: 3, label: 8
877) predicted: 6, label: 8
878) predicted: 3, label: 8
881) predicted: 3, label: 4
882) predicted: 4, label: 9
885) predicted: 8, label: 6
888) predicted: 0, label: 2
891) predicted: 8, label: 2
892) predicted: 8, label: 2
897) predicted: 8, label: 5
898) predicted: 1, label: 7
899) predicted: 3, label: 8
901) predicted: 0, label: 4
902) predicted: 9, label: 4
905) predicted: 3, label: 2
906) predicted: 7, label: 9
908) predicted: 7, label: 4
909) predicted: 3, label: 7
910) predicted: 8, label: 4
913) predicted: 0, label: 9
915) predicted: 1, label: 8
916) predicted: 0, label: 4
919) predicted: 3, label: 2
921) predicted: 0, label: 2
922) predicted: 3, label: 2
924) predicted: 0, label: 2
926) predicted: 8, label: 2
930) predicted: 1, label: 7
931) predicted: 9, label: 4
934) predicted: 3, label: 5
935) predicted: 8, label: 5
939) predicted: 0, label: 2
940) predicted: 8, label: 6
943) predicted: 1, label: 6
945) predicted: 3, label: 2
947) predicted: 9, label: 8
950) predicted: 8, label: 7
951) predicted: 8, label: 5
952) predicted: 0, label: 6
953) predicted: 7, label: 4
954) predicted: 3, label: 9
955) predicted: 8, label: 5
956) predicted: 3, label: 1
959) predicted: 3, label: 4
960) predicted: 1, label: 7
962) predicted: 7, label: 9
965) predicted: 0, label: 6
966) predicted: 7, label: 9
968) predicted: 8, label: 4
969) predicted: 6, label: 4
970) predicted: 8, label: 5
971) predicted: 9, label: 4
974) predicted: 3, label: 2
975) predicted: 0, label: 2
978) predicted: 3, label: 5
980) predicted: 8, label: 2
985) predicted: 3, label: 2
987) predicted: 3, label: 7
990) predicted: 1, label: 2
995) predicted: 0, label: 2
996) predicted: 6, label: 2
998) predicted: 3, label: 8
1000) predicted: 1, label: 9
1002) predicted: 8, label: 2
1003) predicted: 3, label: 5
1007) predicted: 1, label: 8
1012) predicted: 3, label: 7
1014) predicted: 8, label: 6
1015) predicted: 1, label: 4
1016) predicted: 0, label: 2
1022) predicted: 8, label: 5
1023) predicted: 9, label: 4
1024) predicted: 8, label: 4
1029) predicted: 1, label: 8
1031) predicted: 3, label: 2
1032) predicted: 8, label: 5
1033) predicted: 1, label: 8
1036) predicted: 3, label: 2
1039) predicted: 3, label: 7
1041) predicted: 8, label: 5
1043) predicted: 9, label: 4
1045) predicted: 1, label: 9
1046) predicted: 3, label: 5
1048) predicted: 3, label: 9
1049) predicted: 6, label: 2
1050) predicted: 0, label: 2
1051) predicted: 0, label: 4
1053) predicted: 0, label: 2
1056) predicted: 8, label: 2
1057) predicted: 8, label: 4
1059) predicted: 0, label: 4
1060) predicted: 0, label: 4
1062) predicted: 7, label: 3
1063) predicted: 7, label: 9
1064) predicted: 3, label: 2
1065) predicted: 3, label: 2
1068) predicted: 1, label: 8
1070) predicted: 3, label: 5
1072) predicted: 1, label: 3
1073) predicted: 8, label: 5
1074) predicted: 3, label: 8
1076) predicted: 3, label: 2
1077) predicted: 9, label: 4
1078) predicted: 9, label: 4
1079) predicted: 0, label: 6
1080) predicted: 9, label: 4
1081) predicted: 3, label: 9
1082) predicted: 1, label: 5
1086) predicted: 3, label: 9
1087) predicted: 8, label: 5
1089) predicted: 3, label: 5
1091) predicted: 3, label: 7
1092) predicted: 1, label: 3
1096) predicted: 0, label: 7
1099) predicted: 1, label: 6
1101) predicted: 3, label: 8
1102) predicted: 0, label: 5
1103) predicted: 3, label: 9
1107) predicted: 3, label: 9
1111) predicted: 8, label: 4
1112) predicted: 6, label: 4
1113) predicted: 8, label: 5
1115) predicted: 8, label: 5
1116) predicted: 3, label: 4
1117) predicted: 1, label: 7
1119) predicted: 0, label: 7
1120) predicted: 1, label: 8
1122) predicted: 1, label: 7
1124) predicted: 1, label: 8
1125) predicted: 3, label: 8
1130) predicted: 0, label: 9
1131) predicted: 8, label: 5
1132) predicted: 8, label: 2
1135) predicted: 1, label: 5
1138) predicted: 1, label: 2
1140) predicted: 9, label: 4
1142) predicted: 8, label: 4
1143) predicted: 3, label: 7
1144) predicted: 3, label: 5
1145) predicted: 0, label: 4
1146) predicted: 3, label: 5
1147) predicted: 0, label: 4
1151) predicted: 1, label: 6
1153) predicted: 8, label: 6
1155) predicted: 9, label: 2
1156) predicted: 9, label: 7
1157) predicted: 8, label: 4
1159) predicted: 1, label: 4
1160) predicted: 8, label: 4
1164) predicted: 3, label: 7
1167) predicted: 8, label: 4
1168) predicted: 8, label: 5
1169) predicted: 8, label: 5
1174) predicted: 3, label: 2
1177) predicted: 3, label: 2
1178) predicted: 8, label: 4
1181) predicted: 1, label: 6
1182) predicted: 8, label: 6
1183) predicted: 7, label: 9
1184) predicted: 1, label: 2
1187) predicted: 3, label: 2
1190) predicted: 3, label: 5
1192) predicted: 3, label: 9
1194) predicted: 8, label: 7
1196) predicted: 1, label: 6
1197) predicted: 6, label: 0
1198) predicted: 3, label: 8
1202) predicted: 3, label: 8
1206) predicted: 1, label: 7
1207) predicted: 8, label: 2
1209) predicted: 8, label: 6
1212) predicted: 1, label: 6
1216) predicted: 9, label: 7
1217) predicted: 1, label: 9
1221) predicted: 8, label: 5
1222) predicted: 9, label: 4
1224) predicted: 6, label: 2
1226) predicted: 1, label: 7
1227) predicted: 3, label: 2
1228) predicted: 3, label: 9
1230) predicted: 9, label: 4
1232) predicted: 1, label: 9
1233) predicted: 3, label: 5
1234) predicted: 3, label: 8
1235) predicted: 3, label: 5
1237) predicted: 3, label: 2
1241) predicted: 8, label: 7
1242) predicted: 1, label: 4
1243) predicted: 8, label: 5
1244) predicted: 1, label: 7
1245) predicted: 8, label: 2
1247) predicted: 0, label: 9
1248) predicted: 3, label: 8
1250) predicted: 1, label: 6
1251) predicted: 3, label: 2
1252) predicted: 3, label: 5
1253) predicted: 9, label: 4
1256) predicted: 7, label: 2
1258) predicted: 8, label: 5
1259) predicted: 3, label: 8
1260) predicted: 1, label: 7
1262) predicted: 1, label: 2
1263) predicted: 9, label: 4
1264) predicted: 8, label: 4
1267) predicted: 3, label: 8
1269) predicted: 6, label: 2
1270) predicted: 7, label: 4
1272) predicted: 3, label: 5
1273) predicted: 8, label: 0
1274) predicted: 8, label: 4
1275) predicted: 8, label: 4
1276) predicted: 3, label: 7
1277) predicted: 8, label: 9
1279) predicted: 8, label: 4
1281) predicted: 0, label: 5
1283) predicted: 8, label: 7
1285) predicted: 8, label: 5
1289) predicted: 8, label: 5
1292) predicted: 8, label: 6
1296) predicted: 8, label: 6
1299) predicted: 0, label: 5
1300) predicted: 9, label: 4
1301) predicted: 8, label: 4
1303) predicted: 3, label: 2
1306) predicted: 9, label: 4
1308) predicted: 3, label: 9
1313) predicted: 9, label: 4
1314) predicted: 0, label: 4
1319) predicted: 3, label: 8
1320) predicted: 1, label: 8
1323) predicted: 9, label: 4
1324) predicted: 1, label: 8
1326) predicted: 1, label: 7
1328) predicted: 8, label: 7
1330) predicted: 8, label: 4
1331) predicted: 3, label: 5
1332) predicted: 0, label: 6
1334) predicted: 3, label: 5
1335) predicted: 3, label: 2
1336) predicted: 1, label: 2
1337) predicted: 6, label: 2
1339) predicted: 3, label: 5
1340) predicted: 8, label: 5
1341) predicted: 3, label: 2
1342) predicted: 9, label: 4
1344) predicted: 1, label: 6
1345) predicted: 3, label: 2
1348) predicted: 0, label: 2
1349) predicted: 8, label: 2
1352) predicted: 0, label: 2
1355) predicted: 1, label: 7
1356) predicted: 1, label: 2
1357) predicted: 9, label: 4
1361) predicted: 1, label: 7
1363) predicted: 9, label: 7
1365) predicted: 3, label: 2
1370) predicted: 8, label: 5
1372) predicted: 3, label: 2
1374) predicted: 0, label: 2
1375) predicted: 3, label: 2
1376) predicted: 8, label: 5
1378) predicted: 8, label: 5
1381) predicted: 0, label: 2
1386) predicted: 3, label: 7
1388) predicted: 0, label: 6
1391) predicted: 3, label: 4
1393) predicted: 3, label: 5
1394) predicted: 3, label: 8
1395) predicted: 8, label: 2
1398) predicted: 3, label: 8
1400) predicted: 1, label: 6
1402) predicted: 3, label: 2
1404) predicted: 8, label: 0
1405) predicted: 8, label: 5
1406) predicted: 3, label: 5
1407) predicted: 0, label: 2
1409) predicted: 1, label: 2
1410) predicted: 1, label: 2
1412) predicted: 1, label: 2
1413) predicted: 9, label: 4
1414) predicted: 8, label: 9
1415) predicted: 3, label: 8
1417) predicted: 3, label: 9
1419) predicted: 0, label: 4
1421) predicted: 8, label: 5
1422) predicted: 0, label: 4
1423) predicted: 7, label: 9
1427) predicted: 0, label: 4
1428) predicted: 3, label: 9
1431) predicted: 1, label: 2
1432) predicted: 3, label: 2
1433) predicted: 1, label: 8
1436) predicted: 1, label: 6
1437) predicted: 3, label: 4
1439) predicted: 1, label: 9
1440) predicted: 6, label: 4
1441) predicted: 3, label: 8
1444) predicted: 0, label: 6
1446) predicted: 3, label: 2
1447) predicted: 8, label: 5
1450) predicted: 0, label: 6
1451) predicted: 8, label: 2
1453) predicted: 3, label: 4
1458) predicted: 0, label: 6
1459) predicted: 3, label: 2
1460) predicted: 3, label: 5
1461) predicted: 3, label: 4
1462) predicted: 0, label: 2
1464) predicted: 3, label: 8
1465) predicted: 1, label: 4
1466) predicted: 0, label: 5
1467) predicted: 3, label: 5
1471) predicted: 8, label: 5
1473) predicted: 8, label: 5
1474) predicted: 1, label: 8
1475) predicted: 1, label: 6
1476) predicted: 0, label: 5
1477) predicted: 8, label: 7
1478) predicted: 1, label: 6
1481) predicted: 3, label: 9
1485) predicted: 3, label: 2
1488) predicted: 0, label: 4
1492) predicted: 3, label: 9
1493) predicted: 8, label: 5
1494) predicted: 8, label: 7
1496) predicted: 9, label: 7
1499) predicted: 3, label: 8
1500) predicted: 1, label: 7
1501) predicted: 0, label: 9
1505) predicted: 1, label: 7
1506) predicted: 8, label: 2
1507) predicted: 1, label: 7
1508) predicted: 8, label: 9
1510) predicted: 8, label: 5
1514) predicted: 3, label: 2
1516) predicted: 9, label: 4
1518) predicted: 3, label: 2
1520) predicted: 3, label: 7
1521) predicted: 3, label: 5
1522) predicted: 3, label: 7
1525) predicted: 0, label: 5
1527) predicted: 3, label: 1
1529) predicted: 0, label: 4
1530) predicted: 3, label: 8
1532) predicted: 4, label: 9
1538) predicted: 1, label: 2
1540) predicted: 3, label: 7
1542) predicted: 9, label: 4
1543) predicted: 4, label: 7
1545) predicted: 3, label: 9
1546) predicted: 8, label: 2
1547) predicted: 8, label: 4
1549) predicted: 3, label: 4
1550) predicted: 8, label: 5
1551) predicted: 1, label: 2
1552) predicted: 9, label: 4
1553) predicted: 8, label: 9
1554) predicted: 3, label: 9
1557) predicted: 8, label: 4
1559) predicted: 3, label: 9
1561) predicted: 9, label: 4
1562) predicted: 3, label: 8
1566) predicted: 3, label: 7
1567) predicted: 3, label: 8
1569) predicted: 0, label: 6
1571) predicted: 8, label: 4
1574) predicted: 0, label: 2
1579) predicted: 8, label: 6
1580) predicted: 8, label: 4
1583) predicted: 3, label: 8
1585) predicted: 0, label: 2
1586) predicted: 1, label: 3
1591) predicted: 8, label: 3
1593) predicted: 8, label: 6
1598) predicted: 3, label: 5
1599) predicted: 9, label: 4
1604) predicted: 3, label: 2
1609) predicted: 0, label: 2
1613) predicted: 3, label: 8
1614) predicted: 8, label: 4
1616) predicted: 0, label: 6
1618) predicted: 8, label: 5
1620) predicted: 8, label: 2
1625) predicted: 9, label: 4
1626) predicted: 8, label: 6
1627) predicted: 0, label: 9
1629) predicted: 8, label: 5
1634) predicted: 1, label: 4
1635) predicted: 1, label: 5
1636) predicted: 9, label: 4
1637) predicted: 1, label: 5
1639) predicted: 8, label: 5
1641) predicted: 0, label: 5
1642) predicted: 8, label: 2
1644) predicted: 1, label: 2
1645) predicted: 3, label: 9
1648) predicted: 3, label: 9
1649) predicted: 8, label: 4
1652) predicted: 3, label: 4
1653) predicted: 3, label: 5
1654) predicted: 3, label: 2
1655) predicted: 3, label: 9
1656) predicted: 1, label: 2
1658) predicted: 1, label: 2
1660) predicted: 1, label: 7
1665) predicted: 9, label: 4
1670) predicted: 3, label: 5
1671) predicted: 3, label: 7
1672) predicted: 8, label: 5
1676) predicted: 8, label: 6
1677) predicted: 8, label: 5
1678) predicted: 3, label: 2
1680) predicted: 7, label: 4
1682) predicted: 0, label: 2
1684) predicted: 1, label: 5
1686) predicted: 3, label: 8
1687) predicted: 1, label: 8
1688) predicted: 1, label: 6
1689) predicted: 8, label: 2
1693) predicted: 8, label: 5
1694) predicted: 1, label: 8
1695) predicted: 1, label: 9
1696) predicted: 3, label: 2
1701) predicted: 9, label: 4
1709) predicted: 3, label: 9
1711) predicted: 3, label: 2
1716) predicted: 1, label: 7
1717) predicted: 0, label: 8
1718) predicted: 9, label: 7
1720) predicted: 0, label: 4
1722) predicted: 3, label: 2
1724) predicted: 0, label: 4
1725) predicted: 1, label: 6
1727) predicted: 1, label: 3
1732) predicted: 8, label: 9
1734) predicted: 0, label: 7
1735) predicted: 9, label: 4
1737) predicted: 3, label: 5
1741) predicted: 1, label: 7
1745) predicted: 7, label: 9
1747) predicted: 0, label: 5
1749) predicted: 3, label: 2
1750) predicted: 1, label: 7
1751) predicted: 9, label: 4
1752) predicted: 8, label: 5
1754) predicted: 3, label: 7
1755) predicted: 0, label: 5
1759) predicted: 6, label: 8
1761) predicted: 8, label: 5
1763) predicted: 1, label: 3
1767) predicted: 9, label: 4
1770) predicted: 1, label: 7
1771) predicted: 3, label: 2
1772) predicted: 0, label: 7
1774) predicted: 3, label: 8
1776) predicted: 1, label: 7
1778) predicted: 9, label: 4
1781) predicted: 8, label: 9
1782) predicted: 0, label: 8
1785) predicted: 3, label: 1
1786) predicted: 8, label: 4
1790) predicted: 4, label: 2
1792) predicted: 3, label: 7
1793) predicted: 3, label: 9
1795) predicted: 8, label: 2
1800) predicted: 0, label: 6
1801) predicted: 0, label: 9
1802) predicted: 3, label: 2
1806) predicted: 1, label: 7
1809) predicted: 1, label: 7
1810) predicted: 0, label: 5
1811) predicted: 3, label: 2
1813) predicted: 0, label: 8
1814) predicted: 1, label: 7
1815) predicted: 9, label: 4
1816) predicted: 9, label: 4
1817) predicted: 3, label: 2
1819) predicted: 0, label: 6
1821) predicted: 3, label: 9
1824) predicted: 3, label: 2
1825) predicted: 3, label: 9
1832) predicted: 1, label: 3
1833) predicted: 3, label: 5
1839) predicted: 8, label: 2
1842) predicted: 8, label: 2
1846) predicted: 3, label: 5
1847) predicted: 0, label: 5
1849) predicted: 8, label: 4
1850) predicted: 3, label: 8
1851) predicted: 1, label: 9
1852) predicted: 1, label: 6
1855) predicted: 3, label: 8
1859) predicted: 0, label: 8
1860) predicted: 8, label: 5
1862) predicted: 9, label: 4
1863) predicted: 8, label: 2
1864) predicted: 9, label: 4
1865) predicted: 1, label: 4
1866) predicted: 3, label: 5
1871) predicted: 8, label: 2
1872) predicted: 9, label: 4
1874) predicted: 3, label: 5
1877) predicted: 1, label: 8
1878) predicted: 3, label: 8
1879) predicted: 8, label: 5
1880) predicted: 0, label: 6
1882) predicted: 3, label: 8
1883) predicted: 3, label: 7
1886) predicted: 1, label: 6
1887) predicted: 9, label: 7
1888) predicted: 1, label: 6
1890) predicted: 8, label: 2
1891) predicted: 8, label: 2
1893) predicted: 3, label: 8
1894) predicted: 7, label: 9
1895) predicted: 0, label: 2
1896) predicted: 3, label: 5
1899) predicted: 3, label: 8
1901) predicted: 8, label: 9
1902) predicted: 8, label: 5
1903) predicted: 3, label: 7
1904) predicted: 7, label: 9
1908) predicted: 1, label: 6
1910) predicted: 3, label: 5
1911) predicted: 8, label: 5
1912) predicted: 1, label: 8
1915) predicted: 3, label: 2
1916) predicted: 1, label: 6
1917) predicted: 3, label: 5
1920) predicted: 9, label: 4
1927) predicted: 1, label: 2
1929) predicted: 9, label: 4
1930) predicted: 0, label: 2
1931) predicted: 3, label: 5
1932) predicted: 3, label: 2
1933) predicted: 9, label: 7
1936) predicted: 3, label: 2
1938) predicted: 0, label: 4
1940) predicted: 0, label: 5
1941) predicted: 0, label: 7
1943) predicted: 1, label: 6
1947) predicted: 3, label: 2
1948) predicted: 8, label: 5
1952) predicted: 1, label: 9
1954) predicted: 3, label: 5
